"date","age_cat","n","percent"
2020-04-03,"40 to 59",2,1
2020-04-03,"60+",0,NA
2020-04-04,"Under 15",1,1
2020-04-04,"15 to 39",1,1
2020-04-04,"40 to 59",0,NA
2020-04-04,"60+",0,NA
2020-04-05,"Under 15",0,NA
2020-04-05,"15 to 39",1,1
2020-04-05,"40 to 59",0,NA
2020-04-05,"60+",2,1
2020-04-06,"Under 15",2,1
2020-04-06,"15 to 39",1,1
2020-04-06,"40 to 59",0,NA
2020-04-06,"60+",0,NA
2020-04-07,"Under 15",0,NA
2020-04-07,"15 to 39",2,1
2020-04-07,"40 to 59",1,1
2020-04-07,"60+",0,NA
2020-04-08,"Under 15",2,1
2020-04-08,"15 to 39",1,1
2020-04-08,"40 to 59",1,1
2020-04-08,"60+",0,NA
2020-04-09,"Under 15",0,NA
2020-04-09,"15 to 39",3,1
2020-04-09,"40 to 59",2,1
2020-04-09,"60+",2,1
2020-04-10,"Under 15",0,NA
2020-04-10,"15 to 39",0,NA
2020-04-10,"40 to 59",1,1
2020-04-10,"60+",1,1
2020-04-11,"Under 15",0,NA
2020-04-11,"15 to 39",2,1
2020-04-11,"40 to 59",1,1
2020-04-11,"60+",1,1
2020-04-12,"Under 15",1,1
2020-04-12,"15 to 39",1,1
2020-04-12,"40 to 59",0,NA
2020-04-12,"60+",0,NA
2020-04-13,"Under 15",3,1
2020-04-13,"15 to 39",0,NA
2020-04-13,"40 to 59",0,NA
2020-04-13,"60+",0,NA
2020-04-14,"Under 15",1,1
2020-04-14,"15 to 39",1,1
2020-04-14,"40 to 59",0,NA
2020-04-14,"60+",5,1
2020-04-15,"Under 15",0,NA
2020-04-15,"15 to 39",1,1
2020-04-15,"40 to 59",1,1
2020-04-15,"60+",2,1
2020-04-16,"Under 15",1,1
2020-04-16,"15 to 39",0,NA
2020-04-16,"40 to 59",2,1
2020-04-16,"60+",0,NA
2020-04-17,"Under 15",1,1
2020-04-17,"15 to 39",1,1
2020-04-17,"40 to 59",4,1
2020-04-17,"60+",1,1
2020-04-18,"Under 15",1,1
2020-04-18,"15 to 39",1,1
2020-04-18,"40 to 59",1,1
2020-04-18,"60+",1,1
2020-04-19,"Under 15",1,1
2020-04-19,"15 to 39",1,1
2020-04-19,"40 to 59",1,1
2020-04-19,"60+",3,1
2020-04-20,"Under 15",0,NA
2020-04-20,"15 to 39",1,1
2020-04-20,"40 to 59",0,NA
2020-04-20,"60+",2,1
2020-04-21,"Under 15",0,NA
2020-04-21,"15 to 39",1,1
2020-04-21,"40 to 59",1,1
2020-04-21,"60+",0,NA
2020-04-22,"Under 15",2,1
2020-04-22,"15 to 39",2,1
2020-04-22,"40 to 59",1,1
2020-04-22,"60+",0,NA
2020-04-23,"Under 15",1,1
2020-04-23,"15 to 39",2,1
2020-04-23,"40 to 59",1,1
2020-04-23,"60+",2,1
2020-04-24,"Under 15",2,1
2020-04-24,"15 to 39",0,NA
2020-04-24,"40 to 59",1,1
2020-04-24,"60+",2,1
2020-04-25,"Under 15",0,NA
2020-04-25,"15 to 39",4,1
2020-04-25,"40 to 59",1,1
2020-04-25,"60+",3,1
2020-04-26,"Under 15",0,NA
2020-04-26,"15 to 39",1,1
2020-04-26,"40 to 59",2,1
2020-04-26,"60+",1,1
2020-04-27,"Under 15",1,1
2020-04-27,"15 to 39",0,NA
2020-04-27,"40 to 59",0,NA
2020-04-27,"60+",1,1
2020-04-28,"Under 15",1,1
2020-04-28,"15 to 39",2,1
2020-04-28,"40 to 59",0,NA
2020-04-28,"60+",0,NA
2020-04-29,"Under 15",0,NA
2020-04-29,"15 to 39",2,1
2020-04-29,"40 to 59",2,1
2020-04-29,"60+",3,1
2020-04-30,"Under 15",1,1
2020-04-30,"15 to 39",3,1
2020-04-30,"40 to 59",2,1
2020-04-30,"60+",1,1
2020-05-01,"Under 15",1,1
2020-05-01,"15 to 39",1,1
2020-05-01,"40 to 59",1,1
2020-05-01,"60+",1,1
2020-05-02,"Under 15",0,NA
2020-05-02,"15 to 39",3,1
2020-05-02,"40 to 59",0,NA
2020-05-02,"60+",1,1
2020-05-03,"Under 15",1,1
2020-05-03,"15 to 39",2,1
2020-05-03,"40 to 59",4,1
2020-05-03,"60+",0,NA
2020-05-04,"Under 15",1,1
2020-05-04,"15 to 39",2,1
2020-05-04,"40 to 59",1,1
2020-05-04,"60+",1,1
2020-05-05,"Under 15",1,1
2020-05-05,"15 to 39",0,NA
2020-05-05,"40 to 59",0,NA
2020-05-05,"60+",3,1
2020-05-06,"Under 15",2,1
2020-05-06,"15 to 39",0,NA
2020-05-06,"40 to 59",0,NA
2020-05-06,"60+",0,NA
2020-05-07,"Under 15",2,1
2020-05-07,"15 to 39",0,NA
2020-05-07,"40 to 59",0,NA
2020-05-07,"60+",1,1
2020-05-08,"Under 15",1,1
2020-05-08,"15 to 39",2,1
2020-05-08,"40 to 59",1,1
2020-05-08,"60+",2,1
2020-05-09,"Under 15",0,NA
2020-05-09,"15 to 39",3,1
2020-05-09,"40 to 59",0,NA
2020-05-09,"60+",1,1
2020-05-10,"Under 15",0,NA
2020-05-10,"15 to 39",3,1
2020-05-10,"40 to 59",1,1
2020-05-10,"60+",0,NA
2020-05-11,"Under 15",1,1
2020-05-11,"15 to 39",1,1
